Node 1
1 1 0.1 0.6 3 4.3
1 4 11.8 12.2 14.9 16.5
1 6 24.6 27 28.5 31.2
1 8 58.2 60.5 62 64.4
2 5 71.9 74.3 75.7 78.2
2 8 85 87.2 88.6 91
1 11 96.3 96.7 97.4 98.3
2 12 117.1 117.4 119.5 120
1 15 126.1 127.8 128.7 130.7
2 13 136.3 137.9 138.8 140.9
2 15 146.2 147.2 148.9 151.1
1 17 158 160.7 161.3 163.7
1 19 204.7 205 205.3 205.9
2 20 218.3 218.7 219.2 220.4
Node 2
1 2 0 0.6 3.4 5
2 1 11.2 11.9 14.4 15.8
2 3 23.5 24 26.8 28.7
1 9 39 41.7 44.1 47.2
2 6 71.8 74.6 76.1 78.9
2 9 85 87.8 90.3 93.6
2 11 107.1 107.5 108.1 109.2
1 13 115 116.8 117.7 120
1 16 130.3 132.2 133.1 135.9
2 14 142.5 144.4 145.6 148.3
2 16 153.2 155.3 156.7 159.5
2 17 167.7 170.3 171.2 173.6
1 18 180.1 184.8 185.5 189.9
2 18 196.7 201.4 202 206.3
2 19 212.2 212.6 213 213.8
Node 3
1 3 0.1 0.6 3 4.3
2 2 11.4 11.9 14.7 16.2
2 4 23.7 24.3 27.4 29.2
1 5 39.1 41.4 42.7 45.2
1 7 54.1 56.6 57.9 60.4
1 10 66.2 68.5 70.8 73.5
2 7 79.6 82.1 83.4 85.9
2 10 92.1 94.4 96.7 99.6
1 12 104.8 105.3 107.4 107.9
1 14 117.8 119.4 120.9 123.4
1 20 211.2 211.5 212 213
