2 0 0.6 3.81 5.63
2 61.78 62.42 65.62 67.59
3 15.46 16.1 18.39 19.66
7 35.19 38.04 39.44 41.85
7 97.48 100.21 101.51 103.97
8 81.58 84.23 85.65 88.21
8 49.43 52.28 53.64 56.28
12 115.57 115.86 117.85 118.36
13 125.56 127 128.21 130.4
16 137.01 138.73 139.96 142.45
16 149.18 150.85 152.05 154.78
18 168.11 172.76 173.47 177.73
19 182.88 183.18 183.53 184.32
19 193.01 193.36 193.66 194.43

