ScriptOverhead = 9
1 3.13 0.615
2 3.385 0.805
3 3.005 0.685
4 3.425 0.64
5 1.495 4.725
6 1.54 4.475
7 1.33 4.565
8 1.45 4.545
9 2.3 4.735
10 2.22 4.52
11 0.51 3.445
12 2.1 1.635
13 1.18 3.105
14 1.28 3.74
15 1.015 3.385
16 1.385 3.77
17 0.58 5.32
18 0.72 7.295
19 0.45 4.51
20 0.43 1.23
